keys,it
True when something was remembered under that name this run - the gate on a Cancel button that should only undo a preview it actually took.,Vero quando in questa partita è stato ricordato qualcosa sotto quel nome - la condizione di un pulsante Annulla che deve disfare solo un'anteprima davvero presa.
has remembered [b]{name}[/b],ha ricordato [b]{name}[/b]
Forget Remembered,Dimentica il ricordato
"Drops a remembered value, so Has Remembered reads false again. Forgetting a name that was never remembered is harmless.","Scarta un valore ricordato, così Ha ricordato torna falso. Dimenticare un nome mai ricordato è innocuo."
forget remembered [b]{name}[/b],dimentica il ricordato [b]{name}[/b]
Resources In Folder,Risorse nella cartella
"Loads every data asset (.tres) in a folder as a list, so a folder of files becomes your content - items, enemies, levels, or a mod folder. A missing folder gives an empty list, and a file that fails to load is left out rather than arriving as nothing.","Carica come elenco ogni asset di dati (.tres) di una cartella, così una cartella di file diventa il tuo contenuto - oggetti, nemici, livelli o una cartella di mod. Una cartella mancante dà un elenco vuoto, e un file che non si carica viene escluso invece di arrivare come nulla."
Files,File
resources in [b]{folder}[/b],risorse in [b]{folder}[/b]
Folder,Cartella
"Folder to scan (not recursive). Every .tres / .res inside it is loaded, in the folder's own order.","Cartella da esaminare (non ricorsiva). Ogni .tres / .res al suo interno viene caricato, nell'ordine della cartella."
Resource In Folder,Risorsa nella cartella
"Fetches one data asset out of a folder by its file name, or nothing at all when there is no such file - no red error.","Preleva un singolo asset di dati da una cartella tramite il nome del file, oppure nulla se quel file non c'è - senza errore rosso."
resource [b]{name}[/b] in [b]{folder}[/b],risorsa [b]{name}[/b] in [b]{folder}[/b]
Folder holding the data assets.,Cartella che contiene gli asset di dati.
"File name WITHOUT the .tres extension - ""rusty_sword"" finds rusty_sword.tres.","Nome del file SENZA l'estensione .tres - ""rusty_sword"" trova rusty_sword.tres."
Load Resource Or Default,Carica risorsa o predefinito
"Loads a file and hands back your fallback when it is missing, so a deleted or mod-supplied file never crashes the game.","Carica un file e restituisce il tuo valore di riserva quando manca, così un file cancellato o fornito da una mod non manda mai in crash il gioco."
load [b]{path}[/b] or [i]{fallback}[/i],carica [b]{path}[/b] oppure [i]{fallback}[/i]
Path,Percorso
Full path to the resource or scene to load.,Percorso completo della risorsa o scena da caricare.
Fallback,Valore di riserva
"What to use instead when the file is not there (a preloaded default, or null).","Cosa usare al posto suo quando il file non c'è (un predefinito precaricato, oppure null)."
Count Of Resources In,Numero di risorse in
"How many data assets a folder holds, counted without loading any of them - zero if the folder is missing.","Quanti asset di dati contiene una cartella, contati senza caricarne nessuno - zero se la cartella manca."
count of resources in [b]{folder}[/b],numero di risorse in [b]{folder}[/b]
Folder to count data assets in (not recursive).,Cartella in cui contare gli asset di dati (non ricorsiva).
Copy Resource (Independent),Copia risorsa (indipendente)
"Makes a private copy of a resource, right down to the resources inside it, so writing to the copy never changes the .tres on disk or any other node holding it. Use this before a node edits its own stats.","Crea una copia privata di una risorsa, fin dentro alle risorse che contiene, così scrivere sulla copia non cambia mai il .tres su disco né alcun altro nodo che lo tiene. Usalo prima che un nodo modifichi le proprie statistiche."
Helpers,Aiutanti
independent copy of [i]{resource}[/i],copia indipendente di [i]{resource}[/i]
Resource,Risorsa
The resource to copy. Anything that is not a resource (including nothing at all) gives nothing back.,La risorsa da copiare. Qualsiasi cosa che non sia una risorsa (compreso il nulla) non restituisce niente.
Copy Resource (Share Sub-Resources),Copia risorsa (sottorisorse condivise)
Makes a cheap copy whose own fields are separate but whose inner resources and lists are still SHARED with the original. Pick this only when you want that sharing - otherwise use Copy Resource (Independent).,Crea una copia economica i cui campi propri sono separati ma le cui risorse ed elenchi interni restano CONDIVISI con l'originale. Sceglila solo se vuoi quella condivisione - altrimenti usa Copia risorsa (indipendente).
copy of [i]{resource}[/i] (sub-resources shared),copia di [i]{resource}[/i] (sottorisorse condivise)
Deep Copy,Copia profonda
"Copies the array AND every list or dictionary nested inside it, so editing the copy cannot reach back into the original. Copy Array only copies the outer level.","Copia l'array E ogni elenco o dizionario annidato al suo interno, così modificare la copia non può risalire all'originale. Copia array copia solo il livello esterno."
Variables: Array,Variabili: array
deep copy of [b]{var_name}[/b],copia profonda di [b]{var_name}[/b]
Array,Array
Array variable to copy right through.,Variabile array da copiare fino in fondo.
"Copies the dictionary AND every list or dictionary nested inside it, so editing the copy cannot reach back into the original. Copy Dictionary only copies the outer level.","Copia il dizionario E ogni elenco o dizionario annidato al suo interno, così modificare la copia non può risalire all'originale. Copia dizionario copia solo il livello esterno."
Variables: Dictionary,Variabili: dizionario
Dictionary,Dizionario
Dictionary variable to copy right through.,Variabile dizionario da copiare fino in fondo.
Copy Values From,Copia valori da
"Pours a list of values off another object onto this one, in one row instead of one row per property. Names the target does not have are skipped, so a single preset can serve several kinds of node.","Riversa un elenco di valori da un altro oggetto su questo, in una riga sola invece di una riga per proprietà. I nomi che la destinazione non ha vengono saltati, così un solo preset può servire più tipi di nodo."
copy [b]{names}[/b] from [i]{source}[/i] into [i]{target}[/i],copia [b]{names}[/b] da [i]{source}[/i] in [i]{target}[/i]
The object being written to - it is what changes.,L'oggetto su cui si scrive - è ciò che cambia.
The object to read from - a node OR a resource.,L'oggetto da cui si legge - un nodo OPPURE una risorsa.
Names,Nomi
Comma-separated property names. Leave blank to copy every variable the source's script declares.,Nomi di proprietà separati da virgole. Lascia vuoto per copiare ogni variabile dichiarata dallo script della sorgente.
Fill Blanks From,Riempi i vuoti da
"Writes a base's values ONLY into fields this object left empty, leaving everything you did fill in alone. That is the override chain: a base item plus a rarity variant, or a shipped table plus a mod file. Empty means nothing there: no value at all, blank text, an empty list or an empty record - a 0 and a false are real values and are kept, exactly as Is Nothing and Missing Fields read them.","Scrive i valori di una base SOLO nei campi che questo oggetto ha lasciato vuoti, senza toccare quello che hai compilato. È la catena di sovrascrittura: un oggetto base più una variante di rarità, o una tabella inclusa più un file di mod. Vuoto vuol dire che non c'è niente: nessun valore, testo vuoto, un elenco vuoto o un record vuoto. Uno 0 e un falso sono valori veri e vengono mantenuti, esattamente come li leggono Non è niente e Campi mancanti."
fill blanks in [i]{target}[/i] from [i]{base}[/i],riempi i vuoti in [i]{target}[/i] da [i]{base}[/i]
Fill,Riempi
The one being completed - it is what changes.,Quello che viene completato - è ciò che cambia.
Where the missing values come from.,Da dove arrivano i valori mancanti.
Apply Preset To Node,Applica preset al nodo
"Pours a data asset's fields onto the same-named properties of a node, so difficulty tiers, weapon tunings and boss phases become a data edit instead of a wall of rows.","Riversa i campi di un asset di dati sulle proprietà con lo stesso nome di un nodo, così livelli di difficoltà, tarature delle armi e fasi dei boss diventano una modifica di dati invece che un muro di righe."
apply preset [b]{preset}[/b] to [i]{target}[/i],applica il preset [b]{preset}[/b] a [i]{target}[/i]
Preset,Preset
The data asset to pour on (a .tres you filled in the Inspector). Nothing happens if it is empty.,L'asset di dati da riversare (un .tres che hai compilato nell'Inspector). Se è vuoto non succede nulla.
The node to apply it to.,Il nodo a cui applicarlo.
Matches Properties Of,Corrisponde alle proprietà di
"True while the listed properties hold the same values on both objects - the cheap 'is this ghost still in sync' or 'has anything changed' check. A name neither object has reads as NOT matching, so a typo shows up instead of quietly passing, and either side being gone reads as not matching too.","Vero finché le proprietà elencate hanno gli stessi valori su entrambi gli oggetti - il controllo economico 'questo fantasma è ancora sincronizzato' o 'è cambiato qualcosa'. Un nome che nessuno dei due oggetti ha risulta NON corrispondente, così un errore di battitura si vede invece di passare in silenzio; e se uno dei due lati non c'è più, nemmeno quello corrisponde."
[i]{target}[/i] matches [b]{names}[/b] of [i]{other}[/i],[i]{target}[/i] corrisponde a [b]{names}[/b] di [i]{other}[/i]
Object,Oggetto
The object to test.,L'oggetto da verificare.
"Comma-separated property names to compare. A blank list has nothing to compare, so it is true.","Nomi di proprietà separati da virgole da confrontare. Un elenco vuoto non ha nulla da confrontare, quindi è vero."
Of,Di
The object to compare against.,L'oggetto con cui confrontare.
Data Is Older Than Version,I dati sono più vecchi della versione
"True when a loaded record was written by an older build than this one - the gate a migration sits under. A record with NO version field counts as 0, so the very first format upgrades too, and so does one whose version field is empty or is not a number at all.","Vero quando un record caricato è stato scritto da una build più vecchia di questa - la condizione sotto cui sta una migrazione. Un record SENZA campo versione conta come 0, così si aggiorna anche il primissimo formato, e lo stesso vale per uno il cui campo versione è vuoto o non è affatto un numero."
[b]{record}[/b] is older than version [b]{version}[/b],[b]{record}[/b] è più vecchio della versione [b]{version}[/b]
Record,Record
"The parsed record (a save file, a payload, a manifest).","Il record già analizzato (un file di salvataggio, un payload, un manifest)."
Field,Campo
Which field holds the version number.,Quale campo contiene il numero di versione.
Version,Versione
The version this build writes.,La versione che questa build scrive.
Rename Field,Rinomina campo
"Moves a value to its new field name, and does nothing at all when the old name is not there - so a migration is safe to run twice.","Sposta un valore sul suo nuovo nome di campo, e non fa proprio nulla quando il vecchio nome non c'è - così una migrazione si può eseguire due volte senza rischi."
rename [b]{from_field}[/b] to [b]{to_field}[/b] in [i]{record}[/i],rinomina [b]{from_field}[/b] in [b]{to_field}[/b] dentro [i]{record}[/i]
"The record to migrate, edited in place.","Il record da migrare, modificato sul posto."
The old field name.,Il vecchio nome del campo.
The new field name (overwritten if it is already there).,Il nuovo nome del campo (viene sovrascritto se c'è già).
Stamp Data Version,Timbra la versione dei dati
"Writes the current format number onto a record, so the next load knows it has already been migrated. Data Is Older Than Version reads it back, and reads it as 0 when it is missing or is not a number.","Scrive il numero di formato attuale su un record, così il caricamento successivo sa che è già stato migrato. I dati sono più vecchi della versione lo rilegge, e lo legge come 0 quando manca o non è un numero."
stamp [i]{record}[/i] as version [b]{version}[/b],timbra [i]{record}[/i] come versione [b]{version}[/b]
The record to stamp.,Il record da timbrare.
The version this build writes - a whole number.,La versione che questa build scrive - un numero intero.
Table From File,Tabella da file
"Reads a .csv whose FIRST line is the column names and gives you one record per row, each field reachable by column name - row[""price""]. Quoted cells may contain the separator, Windows line endings are fine, and a missing file simply gives no rows. Store it in an Array variable, then walk it with a For Each pick filter.","Legge un .csv la cui PRIMA riga sono i nomi delle colonne e ti dà un record per riga, con ogni campo raggiungibile per nome di colonna - row[""price""]. Le celle tra virgolette possono contenere il separatore, i fine riga di Windows vanno bene, e un file mancante semplicemente non dà righe. Mettilo in una variabile array, poi percorrilo con un filtro di selezione Per ogni."
Files: Tables,File: tabelle
rows of [b]{path}[/b],righe di [b]{path}[/b]
File,File
The .csv to read. Its FIRST line must be the column names.,Il .csv da leggere. La sua PRIMA riga devono essere i nomi delle colonne.
Separator,Separatore
What separates the columns in that file.,Cosa separa le colonne in quel file.
Comma,Virgola
Semicolon,Punto e virgola
Tab,Tabulazione
Table From Text,Tabella da testo
"The same column-names-first parse as Table From File, but over text you already hold instead of a file on disk.","La stessa analisi con i nomi di colonna nella prima riga di Tabella da file, ma su testo che hai già invece che su un file su disco."
rows in [b]{text}[/b],righe in [b]{text}[/b]
"Spreadsheet text you already have - a pasted blob, a downloaded body, a file you read earlier. FIRST line = the column names.","Testo di foglio di calcolo che hai già - un blocco incollato, un corpo scaricato, un file letto prima. PRIMA riga = i nomi delle colonne."
Column Of Table,Colonna della tabella
"Gives one whole column as a list, in row order - handy for a dropdown's items, a weights list, or a quick sum. A row missing that column contributes empty text.","Dà un'intera colonna come elenco, nell'ordine delle righe - comodo per le voci di un menu a tendina, un elenco di pesi o una somma veloce. Una riga a cui manca quella colonna contribuisce con testo vuoto."
column [b]{column}[/b] of [b]{table}[/b],colonna [b]{column}[/b] di [b]{table}[/b]
Table,Tabella
The rows-of-records variable a Table From File (or Table From Text) expression filled.,La variabile di righe come record che un'espressione Tabella da file (o Tabella da testo) ha riempito.
Column,Colonna
"The column name to read, exactly as it is spelled in the header row.","Il nome della colonna da leggere, scritto esattamente come nella riga di intestazione."
Row Where,Riga dove
"Finds the FIRST record whose column holds this value - the single-item lookup, e.g. the row for item ""sword"". Gives an empty record when nothing matches, so check it with Dictionary Is Empty before reading fields.","Trova il PRIMO record la cui colonna contiene questo valore - la ricerca del singolo elemento, ad esempio la riga dell'oggetto ""sword"". Se non corrisponde nulla restituisce un record vuoto, quindi controllalo con Dizionario è vuoto prima di leggere i campi."
row of [b]{table}[/b] where [b]{column}[/b] is [b]{value}[/b],riga di [b]{table}[/b] dove [b]{column}[/b] è [b]{value}[/b]
"The column to match on, exactly as it is spelled in the header row.","La colonna su cui confrontare, scritta esattamente come nella riga di intestazione."
Is,È
"The value to look for. Compared as text, so 25 and ""25"" both match a cell reading 25.","Il valore da cercare. Il confronto avviene come testo, quindi sia 25 sia ""25"" corrispondono a una cella che riporta 25."
For Each Line In Text,Per ogni riga del testo
"Runs this event's actions once per LINE of the text, skipping blank ones. Windows (CRLF) and old-Mac (CR) endings are handled, so no line arrives with a stray carriage return. Read the current one as `line`.","Esegue le azioni di questo evento una volta per RIGA del testo, saltando quelle vuote. I fine riga di Windows (CRLF) e del vecchio Mac (CR) sono gestiti, così nessuna riga arriva con un ritorno a capo di troppo. Quella corrente si legge come `line`."
Loops,Cicli
for each line in [b]{text}[/b],per ogni riga di [b]{text}[/b]
"The text to walk line by line - a file you read, a pasted blob, a leaderboard body.","Il testo da percorrere riga per riga - un file letto, un blocco incollato, il corpo di una classifica."
For Each Part In Text,Per ogni parte del testo
"Runs this event's actions once per PIECE of the text. Each piece arrives with its surrounding spaces trimmed, and empty pieces are skipped, so ""sword; shield;; bow"" is three parts. Read the current one as `part`.","Esegue le azioni di questo evento una volta per PEZZO del testo. Ogni pezzo arriva senza gli spazi che lo circondano, e i pezzi vuoti vengono saltati, quindi ""sword; shield;; bow"" sono tre parti. Quello corrente si legge come `part`."
for each part of [b]{text}[/b] split by [b]{separator}[/b],per ogni parte di [b]{text}[/b] divisa da [b]{separator}[/b]
"The text to break up - a tag list, a chat command's arguments, one cell of a spreadsheet.","Il testo da spezzare - un elenco di etichette, gli argomenti di un comando di chat, una cella di un foglio di calcolo."
Split by,Dividi per
"What separates the pieces, e.g. "","" or "";"" or "" "".","Cosa separa i pezzi, ad esempio "","" o "";"" o "" ""."
For Each Resource In Folder,Per ogni risorsa nella cartella
"Runs this event's actions once per data asset (.tres / .res) in a folder, already loaded - the ""a folder of items IS my item list"" setup, with no list to maintain. A folder that is not there walks nothing (quietly - it is checked first, so a loop that runs every frame cannot spam errors), and anything that fails to load is skipped rather than arriving as null. Read the current one as `entry`.","Esegue le azioni di questo evento una volta per asset di dati (.tres / .res) in una cartella, già caricato - l'impostazione ""una cartella di oggetti È il mio elenco di oggetti"", senza elenchi da mantenere. Una cartella che non c'è non percorre nulla (in silenzio: viene controllata prima, così un ciclo eseguito ogni frame non può riempire la console di errori), e ciò che non si carica viene saltato invece di arrivare come null. Quello corrente si legge come `entry`."
for each resource in [b]{folder}[/b],per ogni risorsa in [b]{folder}[/b]
Folder of data assets to walk. Only .tres / .res files are loaded; anything else in there is ignored.,Cartella di asset di dati da percorrere. Vengono caricati solo i file .tres / .res; tutto il resto viene ignorato.
Text Before,Testo prima di
"The part of the text before the first marker: Text Before(""Ada [angry]: hi"", "" ["") is ""Ada"". When the marker is not there you get the whole text back, so nothing is silently lost.","La parte del testo prima del primo segnaposto: Testo prima di(""Ada [angry]: hi"", "" ["") è ""Ada"". Se il segnaposto non c'è ottieni tutto il testo, così non si perde nulla in silenzio."
the part of {text} before {marker},la parte di {text} prima di {marker}
The line to read a piece out of.,La riga da cui leggere un pezzo.
Before,Prima di
The marker to stop at (the first one wins).,Il segnaposto a cui fermarsi (vince il primo).
Text After,Testo dopo
"Everything after the first marker: Text After(""Ada [angry]: hi"", ""]: "") is ""hi"". Empty when the marker is not there, because then there is no ""after"".","Tutto ciò che segue il primo segnaposto: Testo dopo(""Ada [angry]: hi"", ""]: "") è ""hi"". Vuoto quando il segnaposto non c'è, perché allora non esiste un ""dopo""."
the part of {text} after {marker},la parte di {text} dopo {marker}
After,Dopo
The marker to start after (the first one wins).,Il segnaposto dopo cui iniziare (vince il primo).
Text Between,Testo tra
"The part between two markers: Text Between(""Ada [angry]: hi"", ""["", ""]"") is ""angry"". Empty when the opening marker is missing, and the rest of the text when the closing one is.","La parte compresa tra due segnaposti: Testo tra(""Ada [angry]: hi"", ""["", ""]"") è ""angry"". Vuoto quando manca il segnaposto di apertura, e il resto del testo quando manca quello di chiusura."
the part of {text} between {open} and {close},la parte di {text} tra {open} e {close}
The opening marker.,Il segnaposto di apertura.
The closing marker.,Il segnaposto di chiusura.
Number In Text,Numero nel testo
"The first number found anywhere in the text, whole or decimal: ""Chapter 3"" gives 3, ""v1.25-beta"" gives 1.25. You get 0 when there is no number at all, and you never write a pattern.","Il primo numero trovato in qualsiasi punto del testo, intero o decimale: ""Chapter 3"" dà 3, ""v1.25-beta"" dà 1.25. Se non c'è alcun numero ottieni 0, e non scrivi mai un pattern."
the first number in {text},il primo numero in {text}
Text that has a number somewhere in it.,Testo che ha un numero da qualche parte.
Split Keeping Quotes,Dividi rispettando le virgolette
"Splits text on a separator but keeps anything inside ""double quotes"" together as one piece, and drops the quotes: give ""iron sword"" 2 is three pieces, not four. Empty pieces are skipped, so runs of separators never produce blanks.","Divide il testo su un separatore ma tiene insieme come un solo pezzo tutto ciò che sta tra ""virgolette doppie"", e toglie le virgolette: give ""iron sword"" 2 sono tre pezzi, non quattro. I pezzi vuoti vengono saltati, così sequenze di separatori non producono mai buchi."
"pieces of {text}, keeping quotes together","pezzi di {text}, tenendo insieme le virgolette"
"The line to split - a console entry, a search box, a pasted cell.","La riga da dividere - una voce di console, una casella di ricerca, una cella incollata."
What separates the pieces OUTSIDE quotes.,Cosa separa i pezzi FUORI dalle virgolette.
Explain JSON Problem,Spiega il problema del JSON
"Why this JSON failed to parse, with the line: ""line 4: Expected ':'"". Empty when it parses fine, so an empty result IS the all-clear. Log it and the bug report writes itself. Branch on this verb's own emptiness (Text Is Blank, inverted) rather than on JSON Is Valid: that condition reads a file holding just the word null as invalid, and this one has nothing to say about it, so pairing them logs an error with a blank reason.","Perché questo JSON non è stato analizzato, con la riga: ""line 4: Expected ':'"". Vuoto quando si analizza bene, quindi un risultato vuoto È il via libera. Registralo e il rapporto di bug si scrive da solo. Ramifica sul vuoto di QUESTO verbo (Il testo è vuoto, invertito) invece che su JSON è valido: quella condizione legge come non valido un file che contiene solo la parola null, e questo verbo non ha nulla da dire al riguardo, quindi metterli insieme registra un errore senza motivo."
JSON,JSON
why {text} is not valid JSON,perché {text} non è JSON valido
"The JSON text to check - a file you read, a paste, a server reply.","Il testo JSON da controllare - un file letto, un incollaggio, una risposta del server."
Explain Table Problem,Spiega il problema della tabella
"The first cell of a table that should be a number and is not, said out loud: ""row 12, column ""price"": ""abc"" is not a number"". Rows are counted from 1 over the rows you hold - Table From File has already used up the header line, so row 12 is line 13 of the file. A row that is not a record at all is reported too. Empty when every listed column checks out.","La prima cella di una tabella che dovrebbe essere un numero e non lo è, detta a voce alta: ""row 12, column ""price"": ""abc"" is not a number"". Le righe si contano da 1 sulle righe che hai in mano - Tabella da file ha già consumato la riga di intestazione, quindi la riga 12 è la riga 13 del file. Viene segnalata anche una riga che non è affatto un record. Vuoto quando ogni colonna elencata è a posto."
what is wrong in {records},cosa non va in {records}
Rows,Righe
"A list of records - one per row, each field reachable by column name.","Un elenco di record - uno per riga, con ogni campo raggiungibile per nome di colonna."
Number columns,Colonne numeriche
The columns that must hold numbers.,Le colonne che devono contenere numeri.
Missing Fields,Campi mancanti
"The listed fields that are missing or left blank, comma-separated, and empty when the record is complete. Blank means nothing there: null, empty text, an empty list or an empty record - a 0 is a real value and is never reported.","I campi elencati che mancano o sono rimasti vuoti, separati da virgole, e vuoto quando il record è completo. Vuoto vuol dire che non c'è niente: null, testo vuoto, un elenco vuoto o un record vuoto. Uno 0 è un valore vero e non viene mai segnalato."
the fields missing from {record},i campi mancanti in {record}
A record or a resource to check.,Un record o una risorsa da controllare.
Fields,Campi
"The fields it must have filled in, separated by commas.","I campi che deve avere compilati, separati da virgole."
Shorten To Fit,Accorcia per stare dentro
"Trims text to a maximum number of characters and marks the cut with the ending you choose, so a clipped name never reads as the whole name. Text that already fits comes back untouched, and the result never runs past the width you gave - a width too narrow to hold the ending simply cuts without one. Cuts mid-word: use Shorten To Whole Words when the cut should land on a word boundary.","Taglia il testo a un numero massimo di caratteri e segna il taglio con la terminazione che scegli, così un nome tagliato non si legge mai come il nome intero. Il testo che ci sta già torna intatto, e il risultato non supera mai la larghezza che hai dato - una larghezza troppo stretta per la terminazione taglia semplicemente senza. Taglia a metà parola: usa Accorcia a parole intere quando il taglio deve cadere su un confine di parola."
shorten [b]{text}[/b] to [b]{max_chars}[/b] characters,accorcia [b]{text}[/b] a [b]{max_chars}[/b] caratteri
The text that has to fit.,Il testo che deve starci.
Max characters,Caratteri massimi
"The widest the result may get, in characters, counting the ending below.","La larghezza massima che il risultato può raggiungere, in caratteri, contando anche la terminazione qui sotto."
Ending,Terminazione
"What marks the cut, e.g. ""..."" or a single ellipsis character. Its own length is taken out of the budget.","Cosa segna il taglio, ad esempio ""..."" o un singolo carattere di puntini di sospensione. La sua lunghezza viene sottratta dal budget."
Shorten To Whole Words,Accorcia a parole intere
"Like Shorten To Fit, but backs up to the last complete word before cutting, so ""Ancient Sword of Thorns"" reads ""Ancient Sword..."" instead of ""Ancient Sword of Th"". When the budget holds no whole word (one very long word) it falls back to cutting by characters, and when it is too narrow to hold the ending at all it cuts without one - so the result is never just the ending, and never wider than you asked for.","Come Accorcia per stare dentro, ma torna indietro fino all'ultima parola completa prima di tagliare, così ""Ancient Sword of Thorns"" si legge ""Ancient Sword..."" invece di ""Ancient Sword of Th"". Quando nel budget non entra nessuna parola intera (una sola parola molto lunga) ripiega sul taglio per caratteri, e quando è troppo stretto per contenere la terminazione taglia senza - così il risultato non è mai solo la terminazione, né mai più largo di quanto hai chiesto."
shorten [b]{text}[/b] to whole words within [b]{max_chars}[/b],accorcia [b]{text}[/b] a parole intere entro [b]{max_chars}[/b]
With Thousands Separators,Con separatori delle migliaia
"Turns a number into grouped digits a player can take in at a glance: 1234567 reads ""1,234,567"". Whole numbers only (the fraction is dropped); a negative keeps its minus sign. For idle-game scale (1.23e15, ""1.23 Qa"") reach for the Big Numbers pack instead.","Trasforma un numero in cifre raggruppate che un giocatore coglie a colpo d'occhio: 1234567 si legge ""1,234,567"". Solo numeri interi (la parte decimale viene scartata); un negativo mantiene il segno meno. Per la scala dei giochi idle (1.23e15, ""1.23 Qa"") usa invece il pacchetto Numeri grandi."
[b]{value}[/b] with thousands separators,[b]{value}[/b] con separatori delle migliaia
The number to make readable. Anything after the decimal point is dropped.,Il numero da rendere leggibile. Tutto ciò che segue la virgola decimale viene scartato.
As Percent Text,Come testo percentuale
"Turns a fraction into percent TEXT with the sign on it: 0.73 reads ""73%"". Feed it a 0-to-1 value (Percent Of already returns 0-to-100, so divide that by 100 or use the raw fraction).","Trasforma una frazione in TESTO percentuale con il segno: 0.73 si legge ""73%"". Dagli un valore da 0 a 1 (Percentuale di restituisce già da 0 a 100, quindi dividi per 100 oppure usa la frazione grezza)."
[b]{value}[/b] as a percent,[b]{value}[/b] come percentuale
Fraction,Frazione
"A fraction where 1.0 means full, e.g. health / max_health.","Una frazione in cui 1.0 significa pieno, ad esempio health / max_health."
Decimals,Decimali
Digits after the decimal point. 0 gives a whole percent.,Cifre dopo la virgola decimale. 0 dà una percentuale intera.
As Duration,Come durata
"Seconds as a duration that survives passing an hour: 3725 reads ""1h 02m"" and 90 reads ""1m 30s"". A negative duration reads as zero. Use As Clock Time when you want strict mm:ss (it rolls an hour into ""60:00"").","Secondi come durata che regge anche oltre un'ora: 3725 si legge ""1h 02m"" e 90 si legge ""1m 30s"". Una durata negativa si legge zero. Usa Come orologio se vuoi mm:ss stretto (lì un'ora diventa ""60:00"")."
[b]{seconds}[/b] as a duration,[b]{seconds}[/b] come durata
Seconds,Secondi
A duration in seconds.,Una durata in secondi.
Align Left,Allinea a sinistra
"Pads text out on the RIGHT to a fixed width, so every row starts on the same edge and reads as a column. Text longer than the width is left alone (it is never cut - shorten it first). Give the Label a MONOSPACE theme font or the column will still drift.","Riempie il testo a DESTRA fino a una larghezza fissa, così ogni riga inizia sullo stesso bordo e si legge come una colonna. Il testo più lungo della larghezza viene lasciato stare (non viene mai tagliato - accorcialo prima). Dai al Label un font MONOSPAZIATO nel tema, altrimenti la colonna continuerà a scivolare."
[b]{text}[/b] aligned left in [b]{width}[/b],[b]{text}[/b] allineato a sinistra in [b]{width}[/b]
The text to pad out.,Il testo da riempire.
Width,Larghezza
Column width in characters. Shorter text is padded; longer text is left as it is.,"Larghezza della colonna in caratteri. Il testo più corto viene riempito, quello più lungo resta com'è."
Fill with,Riempi con
"What fills the gap: a space, or ""."" for a dotted leader. One character.","Cosa riempie lo spazio: uno spazio, oppure ""."" per una guida puntinata. Un solo carattere."
Align Right,Allinea a destra
"Pads text out on the LEFT to a fixed width, so numbers END on the same edge and read as a column of figures. Text longer than the width is left alone. Give the Label a MONOSPACE theme font or the column will still drift.","Riempie il testo a SINISTRA fino a una larghezza fissa, così i numeri FINISCONO sullo stesso bordo e si leggono come una colonna di cifre. Il testo più lungo della larghezza viene lasciato stare. Dai al Label un font MONOSPAZIATO nel tema, altrimenti la colonna continuerà a scivolare."
[b]{text}[/b] aligned right in [b]{width}[/b],[b]{text}[/b] allineato a destra in [b]{width}[/b]
The text to pad out - str() a number first.,Il testo da riempire - passa prima un numero per str().
Center In Width,Centra nella larghezza
"Pads text on BOTH sides to a fixed width, so a heading sits in the middle of a column. An odd leftover space goes on the right. Text longer than the width is left alone. Give the Label a MONOSPACE theme font or the centering will still drift.","Riempie il testo su ENTRAMBI i lati fino a una larghezza fissa, così un titolo sta in mezzo a una colonna. Lo spazio avanzato dispari va a destra. Il testo più lungo della larghezza viene lasciato stare. Dai al Label un font MONOSPAZIATO nel tema, altrimenti la centratura continuerà a scivolare."
[b]{text}[/b] centered in [b]{width}[/b],[b]{text}[/b] centrato in [b]{width}[/b]
The text to center.,Il testo da centrare.
As Title Text,Come testo del titolo
"Turns a machine id into a readable name: ""fire_sword"" reads ""Fire Sword"", ""maxHealth"" reads ""Max Health"". Use it wherever a key has to be shown to a player, so ids and labels never drift apart in two places.","Trasforma un id da macchina in un nome leggibile: ""fire_sword"" si legge ""Fire Sword"", ""maxHealth"" si legge ""Max Health"". Usalo ovunque una chiave debba essere mostrata a un giocatore, così id ed etichette non divergono mai in due posti."
[b]{text}[/b] as title text,[b]{text}[/b] come testo del titolo
"An id or key, e.g. fire_sword or maxHealth.","Un id o una chiave, ad esempio fire_sword o maxHealth."
As Sentence Text,Come testo di frase
"Raises the FIRST letter only and leaves the rest of the text exactly as it is, so ""NPC"" and ""HP"" keep their capitals. Empty text stays empty.","Alza SOLO la prima lettera e lascia il resto del testo esattamente com'è, così ""NPC"" e ""HP"" mantengono le maiuscole. Il testo vuoto resta vuoto."
[b]{text}[/b] as sentence text,[b]{text}[/b] come testo di frase
A sentence that needs its first letter raised.,Una frase la cui prima lettera va messa in maiuscolo.
Translated Text From Pattern,Testo tradotto da un modello
"Looks the whole sentence up in the current language FIRST, then fills its {slots}. The pattern you type here - slots and all - is the translation key, so it is what goes in the catalog. Filling the slots first (Translate around Text From Pattern) produces a string no catalog can contain, and the text then never translates.","PRIMA cerca l'intera frase nella lingua corrente, poi riempie i suoi {slots}. Il modello che scrivi qui - segnaposti compresi - È la chiave di traduzione, quindi è ciò che va nel catalogo. Riempire prima i segnaposti (Traduci attorno a Testo da modello) produce una stringa che nessun catalogo può contenere, e il testo non si traduce mai più."
Translation,Traduzione
translated text from [b]{pattern}[/b],testo tradotto da [b]{pattern}[/b]
Pattern,Modello
